"DIALECT_CD","GEAR_CD","DIALECT_GEAR_NM","SEQ","LU_DT","LU_USER_ID"
"SP01","HL_BLL","PALANGRE DE FONDO",,15-AUG-13,161
"SP01","HL_BUOY","BUOY GEAR",,15-AUG-13,161
"SP01","HL_DLL","PALANGRE HORIZONTAL DE SUPERFICIE",,15-AUG-13,161
"SP01","HL_HAND","CORDEL DE MANO",,15-AUG-13,161
"SP01","HL_POW_REEL","MALACATE",,15-AUG-13,161
"SP01","HL_UNK","HOOK AND LINE-UNKNOWN TYPE",,15-AUG-13,161
"SP01","HL_LL","PALANGRE",,15-AUG-13,161
"SP01","HL_TROLL","SILGA",,15-AUG-13,161
"SP01","HL_VLL","PALANGRE VERTICAL",,15-AUG-13,161
"SP01","NET_BSEINE","CHINCHORRO",,15-AUG-13,161
"SP01","NET_GILL_BOTT","TRASMALLO",,15-AUG-13,161
"SP01","NET_CAST","ATARRAYA",,15-AUG-13,161
"SP01","NET_DROP","DROP NET (LIFT NET)",,15-AUG-13,161
"SP01","NET_GILL","FILETE O TRASMALLO",,15-AUG-13,161
"SP01","GILL_NET_SURFACE","FILETE",,15-AUG-13,161
"SP01","NET_UNK","NET-UNKNOWN TYPE",,15-AUG-13,161
"SP01","NET_SEINE","NET DE SENA",,15-AUG-13,161
"SP01","NET_TRAM","MALLORQUIN",,15-AUG-13,161
"SP01","HAND","A MANO",,15-AUG-13,161
"SP01","HAND_SD","A MANO CON BUCEO DE PULMON",,15-AUG-13,161
"SP01","SCUBA","A MANO CON BUCEO CON TANQUE",,15-AUG-13,161
"SP01","HAND_SNARE","LAZO CON BUCEO CON TANQUE",,15-AUG-13,161
"SP01","HAND_GAFF_SCUBA","BICHERO CON BUCEO CON TANQUE",,15-AUG-13,161
"SP01","HAND_GAFF_SD","BICHERO CON BUCEO DE PULMON",,15-AUG-13,161
"SP01","HAND_SNARE_SD","LAZO CON BUCEO DE PULMON",,15-AUG-13,161
"SP01","HAND_UNK","SPEAR OR BY HAND-UNKNOWN TYPE",,15-AUG-13,161
"SP01","SPEAR_SD","FISGA CON BUCEO DE PULMON",,15-AUG-13,161
"SP01","SPEAR_SCUBA","FISGA CON BUCEO CON TANQUE",,15-AUG-13,161
"SP01","TRAP_FISH","NASA",,15-AUG-13,161
"SP01","TRAP_LCRAB","TRAMPA DE JUEYES",,15-AUG-13,161
"SP01","TRAP_LOB","CAJON",,15-AUG-13,161
"SP01","TRAP_UNK","TRAP-UNKNOWN TYPE",,15-AUG-13,161
"EN02","HL_BOTTOM","BOTTOM FISHING HOOK AND LINE",,16-AUG-13,162
"EN02","HL_BLL","BOTTOM LONGLINE",,16-AUG-13,162
"EN02","HL_BUOY","BUOY GEAR",,16-AUG-13,162
"EN02","HL_DLL","DRIFT LONGLINE",,16-AUG-13,162
"EN02","HL_HAND","HANDLINE",,16-AUG-13,162
"EN02","HL_POW_REEL","HOOK AND LINE WITH POWER WINCH",,16-AUG-13,162
"EN02","HL_UNK","HOOK AND LINE-UNKNOWN TYPE",,16-AUG-13,162
"EN02","HL_LL","LONGLINE",,16-AUG-13,162
"EN02","HL_TROLL","TROLLED HOOK AND LINE",,16-AUG-13,162
"EN02","HL_VLL","VERTICAL LONGLINE",,16-AUG-13,162
"EN02","NET_BSEINE","BEACH SEINE",,16-AUG-13,162
"EN02","NET_GILL_BOTT","BOTTOM GILL NET",,16-AUG-13,162
"EN02","NET_CAST","CAST NET",,16-AUG-13,162
"EN02","NET_DROP","DROP NET (LIFT NET)",,16-AUG-13,162
"EN02","NET_GILL","GILL NET",,16-AUG-13,162
"EN02","GILL_NET_SURFACE","GILL NET, SURFACE",,16-AUG-13,162
